palatable,height,color,family,name
False,0.6096,Green,Cyperaceae,Carex disperma
False,0.45720000000000005,Green,Cyperaceae,Carex douglasii
False,0.45720000000000005,Green,Cyperaceae,Carex echinata
False,0.3048,Brown,Cyperaceae,Carex exserta
False,0.36576000000000003,Green,Cyperaceae,Carex filifolia
False,0.3048,Green,Cyperaceae,Carex flaccosperma
False,0.6096,Green,Cyperaceae,Carex frankii
False,0.45720000000000005,Yellow,Cyperaceae,Carex geyeri
False,1.4935200000000002,Green,Cyperaceae,Carex glaucescens
False,0.9144000000000001,Green,Cyperaceae,Carex gracillima
False,0.762,Green,Cyperaceae,Carex granularis
False,0.9144000000000001,Green,Cyperaceae,Carex grayi
False,0.762,Yellow,Cyperaceae,Carex halliana
False,0.9144000000000001,Green,Cyperaceae,Carex hendersonii
False,1.2192,Green,Cyperaceae,Carex hyalinolepis
False,0.45720000000000005,Green,Cyperaceae,Carex interior
False,0.9144000000000001,Green,Cyperaceae,Carex intumescens
False,1.3716000000000002,Green,Cyperaceae,Carex joorii
False,0.3048,Brown,Cyperaceae,Carex kobomugi
False,1.524,Green,Cyperaceae,Carex lacustris
False,0.48768000000000006,Green,Cyperaceae,Carex lenticularis
False,0.9144000000000001,Green,Cyperaceae,Carex lenticularis var. lipocarpa
False,0.45720000000000005,Green,Cyperaceae,Carex leptalea
False,0.6096,Green,Cyperaceae,Carex leptonervia
False,0.54864,Green,Cyperaceae,Carex limosa
False,0.3048,Green,Cyperaceae,Carex livida
False,1.31064,Green,Cyperaceae,Carex lupulina
False,0.9753600000000001,Green,Cyperaceae,Carex lurida
False,0.6096,Green,Cyperaceae,Carex luzulina
False,0.6096,Yellow,Cyperaceae,Carex mariposana
False,1.0668,Purple,Cyperaceae,Carex mertensii
False,0.6096,Green,Cyperaceae,Carex microptera
False,0.9144000000000001,Green,Cyperaceae,Carex molesta
False,0.9144000000000001,Green,Cyperaceae,Carex muskingumensis
False,0.9144000000000001,Green,Cyperaceae,Carex nebrascensis
False,1.524,Green,Cyperaceae,Carex normalis
False,0.9144000000000001,Yellow,Cyperaceae,Carex obnupta
False,1.0668,Red,Cyperaceae,Carex pachystachya
False,0.6096,Green,Cyperaceae,Carex polymorpha
False,0.6096,Green,Cyperaceae,Carex praegracilis
False,0.70104,Green,Cyperaceae,Carex prasina
False,0.6096,Green,Cyperaceae,Carex projecta
False,0.6096,Green,Cyperaceae,Carex raynoldsii
False,0.3048,Green,Cyperaceae,Carex rossii
False,1.0668,Brown,Cyperaceae,Carex rostrata
False,0.6096,Brown,Cyperaceae,Carex saxatilis
False,0.9144000000000001,Green,Cyperaceae,Carex scabrata
False,0.45720000000000005,Green,Cyperaceae,Carex scirpoidea
False,0.762,Green,Cyperaceae,Carex scoparia
False,0.39624000000000004,Purple,Cyperaceae,Carex scopulorum
False,0.9144000000000001,Green,Cyperaceae,Carex shortiana
False,0.45720000000000005,Green,Cyperaceae,Carex simulata
False,0.9144000000000001,Green,Cyperaceae,Carex sparganioides
False,0.9144000000000001,Green,Cyperaceae,Carex squarrosa
False,1.0668,Green,Cyperaceae,Carex stipata
False,0.9144000000000001,Green,Cyperaceae,Carex straminea
False,1.2801600000000002,Green,Cyperaceae,Carex stricta
False,0.3048,Yellow,Cyperaceae,Carex subspathacea
False,0.762,Green,Cyperaceae,Carex tenera
False,0.85344,Green,Cyperaceae,Carex torta
False,0.9144000000000001,Green,Cyperaceae,Carex tribuloides
False,1.0668,Green,Cyperaceae,Carex trichocarpa
False,0.57912,Green,Cyperaceae,Carex trisperma
False,0.6096,Green,Cyperaceae,Carex typhina
False,1.0668,Green,Cyperaceae,Carex utriculata
False,0.9144000000000001,Green,Cyperaceae,Carex vesicaria
False,0.45720000000000005,Green,Cyperaceae,Carex viridula
False,0.9753600000000001,Green,Cyperaceae,Carex vulpinoidea
False,6.096,White,Caricaceae,Carica papaya
False,0.9144000000000001,Purple,Asteraceae,Carphephorus paniculatus
